COMP_GENE_A	COMP_GENE_B
AT5G62940	AT2G30600
AT5G62940	AT2G24970
AT5G62940	AT3G45020
AT5G62940	AT1G08315
AT5G60850	AT2G36170
AT5G60850	AT1G24620
AT5G60850	AT5G18650
AT5G60850	AT1G63440
AT5G60850	AT5G08520
AT5G60850	AT5G51850
AT5G60850	AT2G36230
AT5G60850	AT1G52630
AT5G60850	AT2G30575
AT5G60850	AT2G38710
AT5G60850	AT2G04845
AT5G60850	AT3G54090
AT5G60850	AT2G25620
AT5G60850	AT5G37530
AT5G60850	AT4G18460
AT5G65590	AT5G12900
AT5G65590	AT5G42710
AT3G55550	AT5G51100
AT1G77210	AT1G53190
AT1G77210	AT5G50860
AT1G77210	AT4G22010
AT1G77210	AT5G10520
AT1G77210	AT3G03540
AT1G77210	AT5G64790
AT1G77210	AT1G59730
AT1G77210	AT1G61240
AT1G77210	AT1G61670
AT1G77210	AT5G04220
AT1G77210	AT4G12420
AT1G77210	AT2G16650
AT1G77210	AT4G27110
AT1G77210	AT1G78980
AT1G77210	AT5G65760
AT1G77210	AT5G15570
AT1G77210	AT1G29890
AT1G77210	AT4G30430
AT1G77210	AT4G35050
AT1G77210	AT4G35970
AT1G77210	AT1G62330
AT1G77210	AT2G42910
AT1G77210	AT2G12646
AT1G77210	AT1G22460
AT1G77210	AT1G06050
AT1G77210	AT1G71070
AT1G77210	AT1G58370
AT1G77210	AT5G48030
AT1G77210	AT1G51460
AT1G77210	AT5G01210
AT1G77210	AT2G48110
AT1G77210	AT1G07620
AT1G77210	AT1G79470
AT1G77210	AT4G11110
AT1G77210	AT1G47270
AT1G77210	AT5G16520
AT1G77210	AT3G57660
AT1G77210	AT1G76850
AT1G77210	AT3G60500
AT1G77210	AT4G39030
AT1G77210	AT3G30775
AT1G77210	AT4G02720
AT1G77210	AT2G15900
AT1G77210	AT1G80410
AT1G77210	AT4G34090
AT1G77210	AT5G05560
AT1G77210	AT1G67930
AT1G77210	AT5G16260
AT1G77210	AT5G24740
AT1G77210	AT5G40480
AT1G77210	AT3G19090
AT1G77210	AT1G17040
AT1G77210	AT5G13050
AT1G77210	AT5G05660
AT1G77210	AT4G32050
AT1G77210	AT3G62110
AT1G77210	AT1G52260
AT1G77210	AT5G04290
AT1G77210	AT2G40000
AT1G77210	AT5G62600
AT1G77210	AT1G53200
AT1G77210	AT1G16800
AT1G77210	AT5G16420
AT1G77210	AT3G12530
AT1G77210	AT5G37510
AT1G77210	AT5G58510
AT1G77210	AT4G28260
AT1G77210	AT1G48360
AT1G77210	AT5G65960
AT1G77210	AT3G12350
AT1G77210	AT4G39820
AT1G77210	AT1G25570
AT1G77210	AT2G07170
AT1G77210	AT5G13530
AT1G77210	AT2G15230
AT1G77210	AT1G12230
AT1G77210	AT3G26750
AT1G77210	AT3G59630
AT1G77210	AT3G06880
AT1G77210	AT5G01400
AT1G77210	AT4G23860
AT1G77210	AT1G72440
AT1G77210	AT1G76400
AT1G77210	AT3G01380
AT1G77210	AT5G63920
AT1G77210	AT5G46840
AT1G77210	AT4G10760
AT1G77210	AT1G03000
AT1G77210	AT2G07690
AT1G77210	AT5G18830
AT1G77210	AT5G39960
AT1G77210	AT2G38500
AT1G77210	AT3G04650
AT1G77210	AT2G43980
AT1G77210	AT5G39940
AT1G77210	AT1G80190
AT1G77210	AT5G25070
AT1G77210	AT3G21580
AT1G77210	AT3G03210
AT1G77210	AT2G16440
AT1G77210	AT4G33060
AT1G77210	AT4G24175
AT1G77210	AT5G19350
AT1G77210	AT1G66345
AT1G77210	AT2G44420
AT1G77210	AT1G08960
AT1G77210	AT1G13770
AT1G77210	AT5G08490
AT1G77210	AT5G51150
AT1G77210	AT4G13450
AT1G77210	AT5G57250
AT1G77210	AT4G15470
AT1G77210	AT4G30720
AT1G77210	AT3G54510
AT1G77210	AT2G42710
AT1G77210	AT3G56040
AT1G77210	AT1G05055
AT1G77210	AT3G11460
AT1G77210	AT5G64860
AT1G77210	AT2G42820
AT1G77210	AT3G47830
AT1G77210	AT4G14000
AT1G77210	AT2G42560
AT1G77210	AT5G25500
AT1G77210	AT5G24850
AT1G09080	AT1G71490
AT1G09080	AT3G20730
AT1G09080	AT5G23290
AT5G23260	AT1G73190
AT5G23260	AT4G35060
AT5G23260	AT1G11490
AT5G23260	AT5G41390
AT5G23260	AT4G18340
AT5G23260	AT2G43110
AT5G23260	AT5G46150
AT1G22130	AT5G09550
AT1G22130	AT1G11430
AT1G22130	AT5G66010
AT1G22130	AT1G12600
AT1G22130	AT5G13420
AT1G22130	AT3G59090
AT1G22130	AT3G22680
AT1G47530	AT1G63720
AT5G15310	AT2G47260
AT5G15310	AT5G25310
AT5G15310	AT4G17020
AT5G15310	AT4G16535
AT5G15310	AT2G16790
AT5G15310	AT2G32930
AT5G15310	AT3G25410
AT5G15310	AT5G42760
AT5G15310	AT3G51790
AT5G15310	AT5G57040
AT5G15310	AT1G31600
AT4G02670	AT5G10510
AT4G02670	AT1G73710
AT4G02670	AT1G24450
AT4G02670	AT1G70820
AT1G76370	AT5G23190
AT1G76370	AT4G09640
AT1G76370	AT4G28700
AT1G76370	AT1G31240
AT1G76370	AT1G75160
